,id,pond,date,elodeastatus,latitude,longitude,trophicposition,kingdom,phylum,order,family,genus,species,no.indiv,sampletype,lengthmm,dC13,dN15,CNratio,notes
64,64,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-29.753405,2.010164,NA,
65,65,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-29.392905,1.271048,NA,
66,66,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,NA,NA,NA,
67,67,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,NA,NA,NA,
187,187,WGN,8/6/2019,elodea,60.514908,-145.572265,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
188,188,WGN,8/6/2019,elodea,60.514908,-145.572265,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
189,189,WGN,8/6/2019,elodea,60.514908,-145.572265,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
218,218,STB,8/5/2019,native,60.515863,-145.577063,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
219,219,STB,8/5/2019,native,60.515863,-145.577063,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
220,220,STB,8/5/2019,native,60.515863,-145.577063,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
