Row,Identifier 1,Identifier 2,Comment,Preparation,Type,Amount,Peak Nr,Ref  Name,Start,Rt,End,Width,Sample Dilution,Amt%,Area All,Ampl  44,Ampl  28,d 13C/12C,d 15N/14N,Date,Time,Area 28,Area 44
4,protein,,,,Sample,0.512,8,CO2_zero,396.5,405.9,412.1,15.7,87,,34.361,3954,,-12.8,,10/23/19,13:19:47,,33.824
5,peach,,,,Sample,1.445,1,N2 Lab.Tank,38,47.7,50.6,12.5,0,,61.046,,6965,,-0.959,10/23/19,13:28:28,60.442,
5,peach,,,,Sample,1.445,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,61.078,,6959,,-1.096,10/23/19,13:28:28,60.475,
5,peach,,,,Sample,1.445,3,N2 Lab.Tank,78,87.6,90.5,12.5,0,,61.441,,6972,,-1.19,10/23/19,13:28:28,60.834,
5,peach,,,,Sample,1.445,4,N2 Lab.Tank,140,167,213.4,73.4,0,,46.451,,2066,,1.413,10/23/19,13:28:28,45.987,
5,peach,,,,Sample,1.445,5,CO2_zero,244.9,267.3,338.2,93.2,87,,125.028,4931,,-25.391,,10/23/19,13:28:28,,123.087
5,peach,,,,Sample,1.445,6,CO2_zero,357,366.4,372.2,15.3,87,,34.249,3963,,-12.889,,10/23/19,13:28:28,,33.714
5,peach,,,,Sample,1.445,7,CO2_zero,376.8,386.2,392.1,15.3,87,,34.754,3967,,-12.784,,10/23/19,13:28:28,,34.211
5,peach,,,,Sample,1.445,8,CO2_zero,396.7,406.1,412.1,15.5,87,,34.485,3967,,-12.8,,10/23/19,13:28:28,,33.946
6,peach,,,,Sample,1.472,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,61.032,,6940,,-0.856,10/23/19,13:37:09,60.423,
6,peach,,,,Sample,1.472,2,N2 Lab.Tank,57.9,70,72.9,15,0,,78.706,,6956,,-1.033,10/23/19,13:37:09,77.92,
6,peach,,,,Sample,1.472,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,61.263,,6962,,-1.19,10/23/19,13:37:09,60.657,
6,peach,,,,Sample,1.472,4,N2 Lab.Tank,139.8,166.8,213.4,73.6,0,,48.133,,2140,,1.333,10/23/19,13:37:09,47.652,
6,peach,,,,Sample,1.472,5,CO2_zero,244.9,266.9,339.2,94.3,87,,129.088,5067,,-25.393,,10/23/19,13:37:09,,127.084
6,peach,,,,Sample,1.472,6,CO2_zero,356.8,366.2,371.6,14.8,87,,34.237,3967,,-12.729,,10/23/19,13:37:09,,33.702
6,peach,,,,Sample,1.472,7,CO2_zero,376.6,386,391.7,15,87,,34.446,3964,,-12.74,,10/23/19,13:37:09,,33.907
6,peach,,,,Sample,1.472,8,CO2_zero,396.5,405.9,411.3,14.8,87,,34.451,3960,,-12.8,,10/23/19,13:37:09,,33.912
7,acetanilide,,,,Sample,0.469,1,N2 Lab.Tank,38,47.4,50.2,12.1,0,,30.848,,3529,,-0.788,10/23/19,13:46:10,30.541,
7,acetanilide,,,,Sample,0.469,2,N2 Lab.Tank,57.9,67.3,70,12.1,0,,30.901,,3529,,-0.969,10/23/19,13:46:10,30.596,
7,acetanilide,,,,Sample,0.469,3,N2 Lab.Tank,77.7,87.4,89.9,12.1,0,,30.978,,3534,,-1.19,10/23/19,13:46:10,30.672,
7,acetanilide,,,,Sample,0.469,4,N2 Lab.Tank,137.9,165.1,221.3,83.4,0,,54.843,,2387,,-2.145,10/23/19,13:46:10,54.289,
7,acetanilide,,,,Sample,0.469,5,CO2_zero,244.3,270.2,331.3,86.9,87,,61.218,2468,,-32.541,,10/23/19,13:46:10,,60.272
7,acetanilide,,,,Sample,0.469,6,CO2_zero,356.8,366.2,371.4,14.6,87,,34.171,3960,,-12.703,,10/23/19,13:46:10,,33.637
7,acetanilide,,,,Sample,0.469,7,CO2_zero,376.6,386.2,391.5,14.8,87,,34.433,3958,,-12.776,,10/23/19,13:46:10,,33.894
7,acetanilide,,,,Sample,0.469,8,CO2_zero,396.7,406.1,411.5,14.8,87,,34.342,3953,,-12.8,,10/23/19,13:46:10,,33.805
8,acetanilide,,,,Sample,0.502,1,N2 Lab.Tank,38,47.4,50,11.9,0,,30.806,,3522,,-0.825,10/23/19,13:55:11,30.502,
8,acetanilide,,,,Sample,0.502,2,N2 Lab.Tank,57.9,67.3,70,12.1,0,,30.91,,3522,,-1.054,10/23/19,13:55:11,30.607,
8,acetanilide,,,,Sample,0.502,3,N2 Lab.Tank,77.7,87.2,89.9,12.1,0,,30.881,,3528,,-1.19,10/23/19,13:55:11,30.578,
8,acetanilide,,,,Sample,0.502,4,N2 Lab.Tank,138.1,165.3,222.4,84.2,0,,58.702,,2568,,-2.105,10/23/19,13:55:11,58.112,
8,acetanilide,,,,Sample,0.502,5,CO2_zero,244.5,270.4,331.9,87.4,87,,65.692,2649,,-32.595,,10/23/19,13:55:11,,64.677
8,acetanilide,,,,Sample,0.502,6,CO2_zero,356.8,366.2,371.8,15,87,,34.568,3946,,-12.815,,10/23/19,13:55:11,,34.028
8,acetanilide,,,,Sample,0.502,7,CO2_zero,376.6,386,391.7,15,87,,33.927,3945,,-12.885,,10/23/19,13:55:11,,33.396
8,acetanilide,,,,Sample,0.502,8,CO2_zero,396.5,405.9,411.5,15,87,,34.287,3944,,-12.8,,10/23/19,13:55:11,,33.751
9,sorghum,,,,Sample,1.061,1,N2 Lab.Tank,38,47.7,50.4,12.3,0,,60.566,,6908,,-0.88,10/23/19,14:03:52,59.97,
9,sorghum,,,,Sample,1.061,2,N2 Lab.Tank,58.1,67.5,70.4,12.3,0,,59.803,,6902,,-1.065,10/23/19,14:03:52,59.216,
9,sorghum,,,,Sample,1.061,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.709,,6915,,-1.19,10/23/19,14:03:52,60.115,
9,sorghum,,,,Sample,1.061,4,N2 Lab.Tank,139.8,166.2,213.4,73.6,0,,33.158,,1500,,0.87,10/23/19,14:03:52,32.835,
9,sorghum,,,,Sample,1.061,5,CO2_zero,217.8,264.4,341.1,123.3,87,,157.59,6094,,-13.548,,10/23/19,14:03:52,,155.127
9,sorghum,,,,Sample,1.061,6,CO2_zero,356.8,366.2,372.2,15.5,87,,34.633,3943,,-12.95,,10/23/19,14:03:52,,34.091
9,sorghum,,,,Sample,1.061,7,CO2_zero,376.8,386,391.9,15,87,,34.288,3943,,-12.882,,10/23/19,14:03:52,,33.752
9,sorghum,,,,Sample,1.061,8,CO2_zero,396.7,406.1,411.7,15,87,,34.192,3944,,-12.8,,10/23/19,14:03:52,,33.657
10,sorghum,,,,Sample,2.044,1,N2 Lab.Tank,38,47.7,50.4,12.3,0,,60.626,,6905,,-0.86,10/23/19,14:12:33,60.03,
10,sorghum,,,,Sample,2.044,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.656,,6911,,-1.07,10/23/19,14:12:33,60.061,
10,sorghum,,,,Sample,2.044,3,N2 Lab.Tank,77.7,87.6,90.5,12.7,0,,61.809,,6924,,-1.19,10/23/19,14:12:33,61.203,
10,sorghum,,,,Sample,2.044,4,N2 Lab.Tank,140,166.4,213.4,73.4,0,,34.013,,1542,,0.55,10/23/19,14:12:33,33.682,
10,sorghum,,,,Sample,2.044,5,CO2_zero,217.8,264,341.1,123.3,87,,164.316,6324,,-13.804,,10/23/19,14:12:33,,161.749
10,sorghum,,,,Sample,2.044,6,CO2_zero,356.8,366.2,371.6,14.8,87,,34.036,3951,,-12.721,,10/23/19,14:12:33,,33.504
10,sorghum,,,,Sample,2.044,7,CO2_zero,376.6,386,391.5,14.8,87,,34.303,3950,,-12.726,,10/23/19,14:12:33,,33.766
10,sorghum,,,,Sample,2.044,8,CO2_zero,396.5,405.9,411.3,14.8,87,,34.266,3948,,-12.8,,10/23/19,14:12:33,,33.73
11,blank,,,,Sample,,1,N2 Lab.Tank,37.8,47.2,50,12.1,0,,30.634,,3509,,-0.603,10/23/19,14:21:34,30.333,
11,blank,,,,Sample,,2,N2 Lab.Tank,57.9,67.3,69.8,11.9,0,,30.766,,3513,,-0.873,10/23/19,14:21:34,30.465,
11,blank,,,,Sample,,3,N2 Lab.Tank,77.7,87.2,89.9,12.1,0,,30.883,,3520,,-1.19,10/23/19,14:21:34,30.582,
11,blank,,,,Sample,,4,CO2_zero,356.6,366,371,14.4,87,,34.104,3947,,-12.698,,10/23/19,14:21:34,,33.57
11,blank,,,,Sample,,5,CO2_zero,376.4,386,390.8,14.4,87,,34.256,3943,,-12.822,,10/23/19,14:21:34,,33.72
11,blank,,,,Sample,,6,CO2_zero,396.5,405.9,410.9,14.4,87,,34.257,3943,,-12.8,,10/23/19,14:21:34,,33.721
12,STB,Hippuris vulgaris,,,Sample,2.434,1,N2 Lab.Tank,38,47.4,50.4,12.3,0,,59.838,,6894,,-0.528,10/23/19,14:30:15,59.247,
12,STB,Hippuris vulgaris,,,Sample,2.434,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.632,,6888,,-0.892,10/23/19,14:30:15,60.036,
12,STB,Hippuris vulgaris,,,Sample,2.434,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.761,,6902,,-1.19,10/23/19,14:30:15,60.165,
12,STB,Hippuris vulgaris,,,Sample,2.434,4,N2 Lab.Tank,140,166.8,213.4,73.4,0,,45.101,,2071,,-7.35,10/23/19,14:30:15,44.66,
12,STB,Hippuris vulgaris,,,Sample,2.434,5,CO2_zero,244.5,262.9,344.2,99.7,87,,200.412,7528,,-27.328,,10/23/19,14:30:15,,197.302
12,STB,Hippuris vulgaris,,,Sample,2.434,6,CO2_zero,356.8,366.2,372.2,15.5,87,,33.991,3935,,-12.917,,10/23/19,14:30:15,,33.459
12,STB,Hippuris vulgaris,,,Sample,2.434,7,CO2_zero,376.6,386,391.9,15.3,87,,34.172,3938,,-12.868,,10/23/19,14:30:15,,33.637
12,STB,Hippuris vulgaris,,,Sample,2.434,8,CO2_zero,396.5,405.9,411.7,15.3,87,,34.157,3930,,-12.8,,10/23/19,14:30:15,,33.623
13,STB,Hippuris vulgaris,,,Sample,2.789,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.437,,6892,,-1.025,10/23/19,14:38:55,59.858,
13,STB,Hippuris vulgaris,,,Sample,2.789,2,N2 Lab.Tank,57.9,67.5,70.2,12.3,0,,60.652,,6893,,-1.119,10/23/19,14:38:55,60.073,
13,STB,Hippuris vulgaris,,,Sample,2.789,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.008,,6910,,-1.19,10/23/19,14:38:55,59.434,
13,STB,Hippuris vulgaris,,,Sample,2.789,4,N2 Lab.Tank,139.8,167,213.4,73.6,0,,58.609,,2725,,-1.412,10/23/19,14:38:55,58.038,
13,STB,Hippuris vulgaris,,,Sample,2.789,5,CO2_zero,244.3,261,346.3,102,87,,231.508,8518,,-27.849,,10/23/19,14:38:55,,227.915
13,STB,Hippuris vulgaris,,,Sample,2.789,6,CO2_zero,356.8,366.2,371.8,15,87,,34.377,3945,,-12.869,,10/23/19,14:38:55,,33.839
13,STB,Hippuris vulgaris,,,Sample,2.789,7,CO2_zero,376.6,386.2,391.7,15,87,,34.64,3945,,-12.814,,10/23/19,14:38:55,,34.098
13,STB,Hippuris vulgaris,,,Sample,2.789,8,CO2_zero,396.7,405.9,411.3,14.6,87,,33.994,3944,,-12.8,,10/23/19,14:38:55,,33.462
14,STB,Hippuris vulgaris,,,Sample,2.645,1,N2 Lab.Tank,38,47.7,50.4,12.3,0,,60.498,,6887,,-0.237,10/23/19,14:47:36,59.899,
14,STB,Hippuris vulgaris,,,Sample,2.645,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.565,,6887,,-0.788,10/23/19,14:47:36,59.968,
14,STB,Hippuris vulgaris,,,Sample,2.645,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.676,,6901,,-1.19,10/23/19,14:47:36,60.078,
14,STB,Hippuris vulgaris,,,Sample,2.645,4,N2 Lab.Tank,140.2,167.4,213.4,73.2,0,,70.401,,3282,,-0.876,10/23/19,14:47:36,69.698,
14,STB,Hippuris vulgaris,,,Sample,2.645,5,CO2_zero,244.9,262.5,345.5,100.5,87,,221.11,8195,,-29,,10/23/19,14:47:36,,217.68
14,STB,Hippuris vulgaris,,,Sample,2.645,6,CO2_zero,356.8,366.2,371.8,15,87,,34.07,3947,,-12.798,,10/23/19,14:47:36,,33.537
14,STB,Hippuris vulgaris,,,Sample,2.645,7,CO2_zero,376.6,386,391.5,14.8,87,,34.278,3939,,-12.812,,10/23/19,14:47:36,,33.742
14,STB,Hippuris vulgaris,,,Sample,2.645,8,CO2_zero,396.7,406.1,411.3,14.6,87,,34.265,3943,,-12.8,,10/23/19,14:47:36,,33.729
15,STB,Hippuris vulgaris,,,Sample,2.432,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.254,,6870,,0.217,10/23/19,14:56:17,59.655,
15,STB,Hippuris vulgaris,,,Sample,2.432,2,N2 Lab.Tank,57.9,67.5,70.2,12.3,0,,60.506,,6878,,-0.571,10/23/19,14:56:17,59.909,
15,STB,Hippuris vulgaris,,,Sample,2.432,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.504,,6891,,-1.19,10/23/19,14:56:17,59.907,
15,STB,Hippuris vulgaris,,,Sample,2.432,4,N2 Lab.Tank,140,167,213.4,73.4,0,,49.955,,2303,,-3.176,10/23/19,14:56:17,49.464,
15,STB,Hippuris vulgaris,,,Sample,2.432,5,CO2_zero,244.7,263.5,343.2,98.4,87,,187.116,7144,,-28.008,,10/23/19,14:56:17,,184.21
15,STB,Hippuris vulgaris,,,Sample,2.432,6,CO2_zero,356.8,366.2,371.6,14.8,87,,34.014,3938,,-12.908,,10/23/19,14:56:17,,33.481
15,STB,Hippuris vulgaris,,,Sample,2.432,7,CO2_zero,376.6,386,391.2,14.6,87,,34.206,3945,,-12.891,,10/23/19,14:56:17,,33.671
15,STB,Hippuris vulgaris,,,Sample,2.432,8,CO2_zero,396.5,405.9,411.1,14.6,87,,34.239,3939,,-12.8,,10/23/19,14:56:17,,33.703
16,STB,Hippuris vulgaris,,,Sample,2.691,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.267,,6872,,0.027,10/23/19,15:04:59,59.671,
16,STB,Hippuris vulgaris,,,Sample,2.691,2,N2 Lab.Tank,57.9,67.5,70.2,12.3,0,,60.43,,6875,,-0.671,10/23/19,15:04:59,59.836,
16,STB,Hippuris vulgaris,,,Sample,2.691,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.551,,6889,,-1.19,10/23/19,15:04:59,59.956,
16,STB,Hippuris vulgaris,,,Sample,2.691,4,N2 Lab.Tank,140.2,166.6,213.4,73.2,0,,30.947,,1428,,-3.41,10/23/19,15:04:59,30.65,
16,STB,Hippuris vulgaris,,,Sample,2.691,5,CO2_zero,244.1,261,346.1,102,87,,229.655,8487,,-28.912,,10/23/19,15:04:59,,226.091
16,STB,Hippuris vulgaris,,,Sample,2.691,6,CO2_zero,356.8,366.2,371.8,15,87,,34.04,3941,,-12.848,,10/23/19,15:04:59,,33.507
16,STB,Hippuris vulgaris,,,Sample,2.691,7,CO2_zero,376.6,386,391.5,14.8,87,,34.184,3935,,-12.821,,10/23/19,15:04:59,,33.649
16,STB,Hippuris vulgaris,,,Sample,2.691,8,CO2_zero,396.5,405.9,411.1,14.6,87,,34.129,3938,,-12.8,,10/23/19,15:04:59,,33.595
17,STB,Hippuris vulgaris,,,Sample,2.053,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.346,,6869,,-0.294,10/23/19,15:13:40,59.752,
17,STB,Hippuris vulgaris,,,Sample,2.053,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.276,,6869,,-0.809,10/23/19,15:13:40,59.686,
17,STB,Hippuris vulgaris,,,Sample,2.053,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.532,,6879,,-1.19,10/23/19,15:13:40,59.94,
17,STB,Hippuris vulgaris,,,Sample,2.053,4,N2 Lab.Tank,141.3,167,213.4,72.1,0,,15.687,,685,,-1.165,10/23/19,15:13:40,15.543,
17,STB,Hippuris vulgaris,,,Sample,2.053,5,CO2_zero,244.5,267.3,337.7,93.2,87,,117.315,4677,,-29.041,,10/23/19,15:13:40,,115.493
17,STB,Hippuris vulgaris,,,Sample,2.053,6,CO2_zero,356.8,366.2,371.4,14.6,87,,33.949,3943,,-12.893,,10/23/19,15:13:40,,33.418
17,STB,Hippuris vulgaris,,,Sample,2.053,7,CO2_zero,376.6,386,391,14.4,87,,34.17,3940,,-12.865,,10/23/19,15:13:40,,33.635
17,STB,Hippuris vulgaris,,,Sample,2.053,8,CO2_zero,396.5,405.9,411.1,14.6,87,,34.23,3936,,-12.8,,10/23/19,15:13:40,,33.694
18,STB,Hippuris vulgaris,,,Sample,2.939,1,N2 Lab.Tank,38,47.4,50.4,12.3,0,,60.089,,6860,,-0.024,10/23/19,15:22:21,59.498,
18,STB,Hippuris vulgaris,,,Sample,2.939,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.293,,6870,,-0.684,10/23/19,15:22:21,59.702,
18,STB,Hippuris vulgaris,,,Sample,2.939,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.519,,6879,,-1.19,10/23/19,15:22:21,59.927,
18,STB,Hippuris vulgaris,,,Sample,2.939,4,N2 Lab.Tank,140.9,167,213.4,72.5,0,,24.695,,1119,,0.164,10/23/19,15:22:21,24.462,
18,STB,Hippuris vulgaris,,,Sample,2.939,5,CO2_zero,217.8,264.4,342.1,124.4,87,,173.212,6662,,-29.773,,10/23/19,15:22:21,,170.532
18,STB,Hippuris vulgaris,,,Sample,2.939,6,CO2_zero,356.8,366.2,371.8,15,87,,34.444,3937,,-12.714,,10/23/19,15:22:21,,33.905
18,STB,Hippuris vulgaris,,,Sample,2.939,7,CO2_zero,376.6,386,391.2,14.6,87,,34.169,3933,,-12.739,,10/23/19,15:22:21,,33.635
18,STB,Hippuris vulgaris,,,Sample,2.939,8,CO2_zero,396.5,406.1,411.1,14.6,87,,34.167,3933,,-12.8,,10/23/19,15:22:21,,33.632
19,STB,Hippuris vulgaris,,,Sample,2.459,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.177,,6864,,-0.641,10/23/19,15:31:01,59.591,
19,STB,Hippuris vulgaris,,,Sample,2.459,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,59.313,,6866,,-0.947,10/23/19,15:31:01,58.738,
19,STB,Hippuris vulgaris,,,Sample,2.459,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.293,,6875,,-1.19,10/23/19,15:31:01,59.709,
19,STB,Hippuris vulgaris,,,Sample,2.459,4,N2 Lab.Tank,140.2,166.8,213.4,73.2,0,,29.804,,1340,,-1.682,10/23/19,15:31:01,29.52,
19,STB,Hippuris vulgaris,,,Sample,2.459,5,CO2_zero,244.1,262.7,343,98.9,87,,185.972,7120,,-29.444,,10/23/19,15:31:01,,183.086
19,STB,Hippuris vulgaris,,,Sample,2.459,6,CO2_zero,356.8,366.2,371.6,14.8,87,,33.862,3932,,-12.885,,10/23/19,15:31:01,,33.332
19,STB,Hippuris vulgaris,,,Sample,2.459,7,CO2_zero,376.6,386,391.2,14.6,87,,33.975,3935,,-12.881,,10/23/19,15:31:01,,33.443
19,STB,Hippuris vulgaris,,,Sample,2.459,8,CO2_zero,396.5,405.9,411.1,14.6,87,,34.226,3935,,-12.8,,10/23/19,15:31:01,,33.69
20,STB,Hippuris vulgaris,,,Sample,2.847,1,N2 Lab.Tank,37.8,47.2,50.4,12.5,0,,60.135,,6855,,-0.331,10/23/19,15:39:43,59.547,
20,STB,Hippuris vulgaris,,,Sample,2.847,2,N2 Lab.Tank,57.9,67.3,70.4,12.5,0,,60.365,,6863,,-0.815,10/23/19,15:39:43,59.777,
20,STB,Hippuris vulgaris,,,Sample,2.847,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.424,,6871,,-1.19,10/23/19,15:39:43,59.836,
20,STB,Hippuris vulgaris,,,Sample,2.847,4,N2 Lab.Tank,139.4,166.6,213.4,74,0,,70.765,,3338,,-1.331,10/23/19,15:39:43,70.068,
20,STB,Hippuris vulgaris,,,Sample,2.847,5,CO2_zero,244.1,260.4,346.7,102.6,87,,238.228,8779,,-28.866,,10/23/19,15:39:43,,234.53
20,STB,Hippuris vulgaris,,,Sample,2.847,6,CO2_zero,356.8,366.2,372,15.3,87,,33.965,3935,,-12.827,,10/23/19,15:39:43,,33.433
20,STB,Hippuris vulgaris,,,Sample,2.847,7,CO2_zero,376.6,386,391.5,14.8,87,,34.174,3941,,-12.821,,10/23/19,15:39:43,,33.639
20,STB,Hippuris vulgaris,,,Sample,2.847,8,CO2_zero,396.7,405.9,411.3,14.6,87,,34.147,3935,,-12.8,,10/23/19,15:39:43,,33.613
21,STB,Hippuris vulgaris,,,Sample,3.01,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.146,,6871,,-0.363,10/23/19,15:48:24,59.558,
21,STB,Hippuris vulgaris,,,Sample,3.01,2,N2 Lab.Tank,57.9,67.5,70.2,12.3,0,,60.247,,6867,,-0.827,10/23/19,15:48:24,59.661,
21,STB,Hippuris vulgaris,,,Sample,3.01,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,59.84,,6878,,-1.19,10/23/19,15:48:24,59.258,
21,STB,Hippuris vulgaris,,,Sample,3.01,4,N2 Lab.Tank,139.6,166.6,213.4,73.8,0,,73.048,,3462,,-0.539,10/23/19,15:48:24,72.328,
21,STB,Hippuris vulgaris,,,Sample,3.01,5,CO2_zero,244.1,259.8,348.2,104.1,87,,254.897,9258,,-28.783,,10/23/19,15:48:24,,250.94
21,STB,Hippuris vulgaris,,,Sample,3.01,6,CO2_zero,356.8,366.2,371.8,15,87,,33.899,3935,,-12.852,,10/23/19,15:48:24,,33.369
21,STB,Hippuris vulgaris,,,Sample,3.01,7,CO2_zero,376.6,386,391.5,14.8,87,,34.163,3933,,-12.869,,10/23/19,15:48:24,,33.628
21,STB,Hippuris vulgaris,,,Sample,3.01,8,CO2_zero,396.5,405.9,411.3,14.8,87,,34.168,3932,,-12.8,,10/23/19,15:48:24,,33.633
22,STB,Hippuris vulgaris,,,Sample,2.511,1,N2 Lab.Tank,37.8,47.4,50.4,12.5,0,,60.12,,6853,,0.203,10/23/19,15:57:05,59.529,
22,STB,Hippuris vulgaris,,,Sample,2.511,2,N2 Lab.Tank,57.9,67.5,70.4,12.5,0,,60.246,,6860,,-0.586,10/23/19,15:57:05,59.658,
22,STB,Hippuris vulgaris,,,Sample,2.511,3,N2 Lab.Tank,77.7,87.4,90.3,12.5,0,,60.443,,6870,,-1.19,10/23/19,15:57:05,59.853,
22,STB,Hippuris vulgaris,,,Sample,2.511,4,CO2_zero,356.6,366,370.8,14.2,87,,34.023,3941,,-12.698,,10/23/19,15:57:05,,33.49
22,STB,Hippuris vulgaris,,,Sample,2.511,5,CO2_zero,376.4,386,390.8,14.4,87,,34.146,3935,,-12.741,,10/23/19,15:57:05,,33.612
22,STB,Hippuris vulgaris,,,Sample,2.511,6,CO2_zero,396.5,405.9,410.9,14.4,87,,34.185,3939,,-12.8,,10/23/19,15:57:05,,33.65
23,WCW,Hippuris vulgaris,,,Sample,2.782,1,N2 Lab.Tank,38,47.7,50.6,12.5,0,,59.95,,6853,,0.619,10/23/19,16:05:46,59.36,
